,chi_1D,chi_2D,fncmin_1DML,fncmin_2DML,n0_1D,n0_1DML,n0_2D,n0_2DML,n1_1D,n1_1DML,n1_2D,n1_2DML,pval_1D,pval_2D,var00_1D,var00_2D,var01_1D,var01_2D,var11_1D,var11_2D
207,5.56799577596944,15.2656306402687,32.32157069089806,55.04656233245972,1019.6447683690553,1017.5347616478917,1019.2226746962481,1013.0162672551613,81.7472308007337,82.45821187988328,88.41013962327216,86.98500232747594,0.47327688559275793,0.3602409972816878,2522.6167254152183,2949.55374814318,-2012.2781943928978,-1927.2198792581753,2052.983943601191,2016.3488436524854
208,3.5536500308771393,14.762658876088482,31.323534263478535,54.65092769932848,993.1937088699873,992.6876496145452,1005.1918080519491,997.8200011990008,107.69470394758116,107.31335297024509,102.18952089868337,102.18520143773236,0.7368186529360075,0.39456902658346,2543.3132471705385,3023.9806526839184,-2046.5922381800128,-2015.0901729707289,2100.537644966531,2117.284077960091
209,3.6832234648902458,18.074161537967502,31.423912727831947,56.616381113946375,1006.7121449277597,1006.6258272208984,1016.1282515739182,1005.2709970960917,94.20866090711439,93.38650979467269,92.90882973440665,94.7326841848779,0.7194542907577817,0.20342398634725598,2476.0520663403654,2951.818165123529,-1972.6626524649282,-1930.2392255153682,2019.9639646533499,2022.2352566839925
210,4.389884523219221,8.282995967497744,31.72967154605078,51.78494066413926,1026.9399733331672,1026.019749251986,1024.1859158681277,1024.4397064649588,74.15749768251011,73.97815935985932,79.95558136572284,75.5647817906616,0.6240702598364516,0.8740675834680514,2532.4031338290874,2962.1487519327297,-2018.7011438446486,-1938.0865902416192,2055.822433511423,2020.2431563957186
211,1.7497217920059949,19.662897519942895,30.43787314683246,57.682445459656336,983.8843365518379,982.4831480975296,998.9169913348734,990.788515060104,116.55309361644842,117.51203851605923,110.91445832542594,109.21800581861767,0.9412184750349766,0.1411327582839011,2493.2257086966197,2999.8166112876042,-2000.9363831077235,-1996.794985288813,2058.975158561801,2108.5427274941053
212,0.9986599480587264,8.190395465485363,30.061424831321006,51.6403081871415,973.8912383118728,973.542547117952,983.486300163879,978.6458567606763,126.35842661812936,126.46163700687984,120.60889664406838,121.34392150413076,0.9856630698937027,0.8791727232182402,2472.686572027418,2923.8615129825785,-1985.6489956375865,-1937.9534801008226,2048.798676387885,2058.192404777251
213,11.40443711233018,16.508737249042014,35.31163638967274,56.16595653538528,1044.6157393690742,1041.6017726759947,1041.0263724627139,1031.1351651131754,58.235369609719775,58.37496076628441,67.22800250608167,68.85546203682038,0.07665267413419752,0.2833028383962047,2512.414561445682,2966.3679107910284,-1989.3560387530458,-1920.4129610448915,2018.437020923614,1986.8567175299331
214,1.7103582194602005,10.384728906295246,30.441023614017098,52.67897464441854,967.7426407221967,967.3248030297219,970.5806287360252,963.5265499632562,132.68494890123253,132.65875918915114,134.61173403406175,136.46864090812483,0.9443187965502814,0.7335492940626447,2445.9629577828728,2881.4915169252736,-1961.9815611293589,-1907.3622009802787,2028.3209047549951,2041.029408423351
215,1.5451387439134021,4.180253655421716,30.364154839811732,49.80905458927427,1057.008765859817,1056.5525452875756,1058.4095503736687,1053.5247782290742,43.377518814835575,43.446295708852716,43.68057546266234,46.48518862708474,0.9564399590199888,0.9942805863058272,2544.1514967714083,3028.5154948163754,-2015.5342900352312,-1967.6408546428238,2037.2068116364107,2009.9042455160134
216,4.165586693833987,18.971136956445,31.626883105214745,57.11645238529222,1045.6180172926856,1043.602747365303,1055.209839609851,1030.862870146102,55.423380023881606,56.39364149337859,54.27571638843388,69.13445411066421,0.6542792302946652,0.1660550472365108,2553.6461990510115,3061.339787260289,-2030.342114937351,-1993.8725370805953,2057.819361829262,2040.6855622266858
217,7.782050802223922,14.526678327078498,33.49210599726507,55.149149961959026,991.7578644838013,989.0665883163076,994.6954762427581,993.8134404824146,110.18764837288826,110.93120193904768,112.5678639918608,106.18559753911155,0.2545096722040038,0.41125462061631657,2457.018666641444,2943.55924895831,-1960.465702141051,-1948.416505205509,2015.372358426636,2064.1852018988343
218,2.8491598024266356,12.016087201975058,31.000086935635352,53.53304409008653,930.6532343240648,930.4850002878834,937.0298216215053,929.731401874165,170.05905616942587,169.5033967474988,168.97821317643348,170.2695400516641,0.827526848081687,0.6050107962770515,2384.048795126284,2805.805486952876,-1918.6776844143455,-1865.1038214800033,2003.84073757523,2033.4284802221948
219,7.196556519972528,15.029243947277708,33.200943804287505,55.464750976483856,1041.042648104022,1038.0925229416084,1052.1938174330528,1044.0693008709113,60.7564912930485,61.92706839755208,55.32079933171633,55.93397872630346,0.30305180872358456,0.37615853156516826,2515.9518064766526,3042.9490697331325,-1994.6941079612245,-1986.6794216794422,2024.7862852882665,2041.6978955920738
220,0.7441965808457958,4.457479772716248,29.926172044474697,49.72236738649198,925.6260967010827,925.4778211632995,928.4232381257469,926.4452341991562,174.55995252026113,174.52081854031064,173.80550109090444,173.56467088592194,0.9934871302467945,0.9920246222521736,2407.716310977698,2805.6477854149925,-1944.8645572583814,-1876.2130357582514,2032.152187165699,2050.1233658904403
221,4.210986711984933,6.976934194850104,31.683775873020267,51.12892992015671,1047.6087698001322,1045.30337930436,1049.7731613214237,1042.4621239274084,53.44397800480426,54.68982815498213,53.715304910945044,57.54166181396742,0.6481482529074527,0.9355974087666052,2560.812913743452,3032.23013199446,-2036.4600653831158,-1978.787714254002,2062.8970907234448,2030.5846963085958
222,8.57876589446451,14.665400703660367,33.9433961962757,55.29274374109774,1029.1058222256338,1025.2292196155454,1029.215773919675,1024.7645594659687,73.03887206388723,74.77191773979662,78.11692044117046,75.24617854523333,0.19869029409994715,0.4014027778019803,2475.838910745025,2947.2973808518454,-1960.3264160092392,-1915.8543570832853,1996.4230058496107,1995.4245782696069
223,1.8361471871209645,11.168772924527326,30.491729283647913,53.07101811607339,1044.5967837030028,1043.795248155175,1062.6497351850182,1056.6974130761666,55.862253343263994,56.20610708990406,42.93465136369507,43.300651818237704,0.9341343442301632,0.6727295355100997,2553.072620570877,3104.8357496912768,-2030.5803165022896,-2039.21464498652,2058.4323286424174,2081.9772582125734
